iso_timestamp,phase,handoff,event,ref,run_id,notes
2026-04-09T07:44:51.137049+00:00,00g,H1,dispatch-start,,,
2026-04-09T07:44:51.255530+00:00,00g,H2,dispatch-start,,,
2026-04-09T07:50:30.395932+00:00,00g,H1,dispatch-end,,,
2026-04-09T07:50:30.519319+00:00,00g,H2,dispatch-end,,,
2026-04-09T07:52:50.373629+00:00,00g,H1,commit,8e01023,,
2026-04-09T07:53:00.524846+00:00,00g,H2,commit,3a06af0,,
2026-04-09T07:53:21.735562+00:00,00g,H1,ci-green,,24179050337,
2026-04-09T07:53:21.855480+00:00,00g,H2,ci-green,,24179050337,
2026-04-09T09:05:19.441077+00:00,01b,H0,dispatch-start,,,
2026-04-09T09:05:19.571573+00:00,01a,H1,dispatch-start,,,
2026-04-09T10:19:46.484862+00:00,01b,H0,dispatch-end,,,
2026-04-09T10:19:46.611997+00:00,01a,H1,dispatch-end,,,
2026-04-09T10:23:09.062573+00:00,01b,H0,commit,bff7da9,,
2026-04-09T10:23:09.178293+00:00,01a,H1,commit,bff7da9,,
2026-04-09T10:25:02.667499+00:00,01b,H0,ci-green,,24185192435,
2026-04-09T10:25:02.798895+00:00,01a,H1,ci-green,,24185192435,
2026-04-09T10:50:30.861620+00:00,01b,H1,dispatch-start,,,
2026-04-09T10:54:18.831023+00:00,01b,H1,dispatch-end,,,
